ID,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim
201303016119,2013030161,19,home,TRUE,OT,Ken Hitchcock,4,52,42,12
201303016216,2013030162,16,away,FALSE,OT,Joel Quenneville,3,28,18,41
201303016219,2013030162,19,home,TRUE,OT,Ken Hitchcock,4,31,26,20
201303016319,2013030163,19,away,FALSE,REG,Ken Hitchcock,0,34,41,8
201303016316,2013030163,16,home,TRUE,REG,Joel Quenneville,2,25,27,6
201303016419,2013030164,19,away,FALSE,OT,Ken Hitchcock,3,33,42,6
201303016416,2013030164,16,home,TRUE,OT,Joel Quenneville,4,34,32,12
201303016516,2013030165,16,away,TRUE,OT,Joel Quenneville,3,30,17,6
201303016519,2013030165,19,home,FALSE,OT,Ken Hitchcock,2,29,54,6
201303016619,2013030166,19,away,FALSE,REG,Ken Hitchcock,1,36,43,6
201303016616,2013030166,16,home,TRUE,REG,Joel Quenneville,5,27,22,12
20150301314,2015030131,4,away,FALSE,REG,Dave Hakstol,0,19,26,35
201503013115,2015030131,15,home,TRUE,REG,Barry Trotz,2,31,29,21
20150301324,2015030132,4,away,FALSE,REG,Dave Hakstol,1,42,36,8
201503013215,2015030132,15,home,TRUE,REG,Barry Trotz,4,23,38,12
201503013315,2015030133,15,away,TRUE,REG,Barry Trotz,6,27,26,14
20150301334,2015030133,4,home,FALSE,REG,Dave Hakstol,1,32,45,53
201503013415,2015030134,15,away,FALSE,REG,Barry Trotz,1,32,38,4
20150301344,2015030134,4,home,TRUE,REG,Dave Hakstol,2,25,43,4
20150301354,2015030135,4,away,TRUE,REG,Dave Hakstol,2,11,17,13
201503013515,2015030135,15,home,FALSE,REG,Barry Trotz,0,44,35,19
201503013615,2015030136,15,away,TRUE,REG,Barry Trotz,1,29,32,6
20150301364,2015030136,4,home,FALSE,REG,Dave Hakstol,0,26,38,10
20140301315,2014030131,5,away,FALSE,REG,Mike Johnston,1,25,32,10
20140301313,2014030131,3,home,TRUE,REG,Alain Vigneault,2,38,32,2
20140301325,2014030132,5,away,TRUE,REG,Mike Johnston,4,22,21,14
20140301323,2014030132,3,home,FALSE,REG,Alain Vigneault,3,26,25,8
20140301333,2014030133,3,away,TRUE,REG,Alain Vigneault,2,26,37,8
20140301335,2014030133,5,home,FALSE,REG,Mike Johnston,1,24,43,10
20140301343,2014030134,3,away,TRUE,OT,Alain Vigneault,2,24,42,6
20140301345,2014030134,5,home,FALSE,OT,Mike Johnston,1,23,28,6
20140301355,2014030135,5,away,FALSE,OT,Mike Johnston,1,38,28,6
20140301353,2014030135,3,home,TRUE,OT,Alain Vigneault,2,36,36,6
201403031114,2014030311,14,away,FALSE,REG,Jon Cooper,1,24,18,4
20140303113,2014030311,3,home,TRUE,REG,Alain Vigneault,2,30,30,8
201403031214,2014030312,14,away,TRUE,REG,Jon Cooper,6,26,26,12
20140303123,2014030312,3,home,FALSE,REG,Alain Vigneault,2,37,28,22
20140303133,2014030313,3,away,FALSE,OT,Alain Vigneault,5,28,33,6
201403031314,2014030313,14,home,TRUE,OT,Jon Cooper,6,40,41,10
20140303143,2014030314,3,away,TRUE,REG,Alain Vigneault,5,24,30,26
201403031414,2014030314,14,home,FALSE,REG,Jon Cooper,1,39,32,36
201403031514,2014030315,14,away,TRUE,REG,Jon Cooper,2,22,29,10
20140303153,2014030315,3,home,FALSE,REG,Alain Vigneault,0,26,29,8
20140303163,2014030316,3,away,TRUE,REG,Alain Vigneault,7,34,27,8
201403031614,2014030316,14,home,FALSE,REG,Jon Cooper,3,39,22,8
201403031714,2014030317,14,away,TRUE,REG,Jon Cooper,2,25,25,4
20140303173,2014030317,3,home,FALSE,REG,Alain Vigneault,0,22,29,0
201303015130,2013030151,30,away,FALSE,OT,Mike Yeo,4,33,28,12
201303015121,2013030151,21,home,TRUE,OT,Patrick Roy,5,31,41,10
201303015230,2013030152,30,away,FALSE,REG,Mike Yeo,2,32,34,16
201303015221,2013030152,21,home,TRUE,REG,Patrick Roy,4,29,26,16
201303015321,2013030153,21,away,FALSE,OT,Patrick Roy,0,22,27,14
201303015330,2013030153,30,home,TRUE,OT,Mike Yeo,1,46,33,16
201303015421,2013030154,21,away,FALSE,REG,Patrick Roy,1,12,14,8
201303015430,2013030154,30,home,TRUE,REG,Mike Yeo,2,32,16,8
201303015530,2013030155,30,away,FALSE,OT,Mike Yeo,3,32,23,8
201303015521,2013030155,21,home,TRUE,OT,Patrick Roy,4,35,34,8
201303015621,2013030156,21,away,FALSE,REG,Patrick Roy,2,23,18,32
201303015630,2013030156,30,home,TRUE,REG,Mike Yeo,5,23,32,34
201303015730,2013030157,30,away,TRUE,OT,Mike Yeo,5,35,28,6
201303015721,2013030157,21,home,FALSE,OT,Patrick Roy,4,22,28,6
201503015130,2015030151,30,away,FALSE,REG,John Torchetti,0,22,28,12
201503015125,2015030151,25,home,TRUE,REG,Lindy Ruff,4,32,31,4
201503015230,2015030152,30,away,FALSE,REG,John Torchetti,1,26,32,20
201503015225,2015030152,25,home,TRUE,REG,Lindy Ruff,2,28,28,10
201503015325,2015030153,25,away,FALSE,REG,Lindy Ruff,3,17,18,6
201503015330,2015030153,30,home,TRUE,REG,John Torchetti,5,25,20,6
201503015425,2015030154,25,away,TRUE,REG,Lindy Ruff,3,22,19,10
201503015430,2015030154,30,home,FALSE,REG,John Torchetti,2,30,27,6
201503015530,2015030155,30,away,TRUE,OT,John Torchetti,5,24,21,6
201503015525,2015030155,25,home,FALSE,OT,Lindy Ruff,4,41,35,2
201503015625,2015030156,25,away,TRUE,REG,Lindy Ruff,5,24,11,8
201503015630,2015030156,30,home,FALSE,REG,John Torchetti,4,29,26,4
201403015130,2014030151,30,away,TRUE,REG,Mike Yeo,4,29,25,4
201403015119,2014030151,19,home,FALSE,REG,Ken Hitchcock,2,21,22,18
201403015230,2014030152,30,away,FALSE,REG,Mike Yeo,1,25,36,6
201403015219,2014030152,19,home,TRUE,REG,Ken Hitchcock,4,27,36,2
201403015319,2014030153,19,away,FALSE,REG,Ken Hitchcock,0,17,26,16
201403015330,2014030153,30,home,TRUE,REG,Mike Yeo,3,24,28,0
201403015419,2014030154,19,away,TRUE,REG,Ken Hitchcock,6,26,16,2
201403015430,2014030154,30,home,FALSE,REG,Mike Yeo,1,18,26,4
201403015530,2014030155,30,away,TRUE,REG,Mike Yeo,4,19,19,6
201403015519,2014030155,19,home,FALSE,REG,Ken Hitchcock,1,37,22,6
201403015619,2014030156,19,away,FALSE,REG,Ken Hitchcock,1,31,12,4
201403015630,2014030156,30,home,TRUE,REG,Mike Yeo,4,21,15,6
20140301119,2014030111,9,away,FALSE,REG,Dave Cameron,3,33,44,30
20140301118,2014030111,8,home,TRUE,REG,Michel Therrien,4,39,42,33
