animal_id,sex,life_stage,pregnant,with_calf,death_cause,study_site,deploy_on_longitude,deploy_on_latitude,deploy_on_comments,deploy_off_longitude,deploy_off_latitude,deploy_off_type,deploy_off_comments,Date
QU_car012,f,NA,NA,NA,NA,Quintette,-121.4975209,55.08680268,NA,NA,NA,removal,NA,11/1/2019
QU_car013,f,NA,NA,NA,NA,Quintette,-121.1354477,54.99173725,NA,NA,NA,other,Lost,10/31/2019
QU_car015,f,NA,NA,NA,NA,Quintette,-121.6484788,54.84596772,NA,NA,NA,other,Lost,10/31/2019
HR_car017,f,NA,FALSE,NA,NA,Hart Ranges,-122.0215071,54.73731502,General capture location.,NA,NA,other,Lost,10/31/2019
HR_car019,f,NA,NA,NA,NA,Hart Ranges,-122.622436,55.25290499,General capture location.,NA,NA,removal,NA,10/31/2019
KE_car018,f,NA,TRUE,NA,NA,Kennedy,-122.622436,55.25290499,General capture location.,NA,NA,removal,NA,10/31/2019
HR_car016,f,NA,TRUE,NA,NA,Hart Ranges,-122.1623857,54.68444694,General capture location.,NA,NA,removal,Recovered non-working green GPS collar. Cow very skinny.,10/31/2019
MO_car020,f,NA,NA,NA,NA,Moberly,-122.4283635,55.62057375,General capture location.,NA,NA,removal,NA,10/31/2019
BP_car022,m,NA,NA,NA,NA,Burnt Pine,-122.112745,55.3291827,NA,NA,NA,other,Lost,10/31/2019
MO_car009,f,NA,NA,NA,NA,Moberly,-122.4321849,55.63302764,Replacement for failed GPS collar 151.970.,-122.5931093,55.55748673,dead,NA,10/30/2019
MO_car021,f,NA,NA,NA,Accidental.  Caught in tree well,Moberly,-122.4982588,55.73641563,NA,-122.4797465,55.79194945,dead,NA,10/29/2019
BP_car023,f,NA,NA,NA,Unknown.  Suspected wolf predation,Burnt Pine,-122.27706,55.33143354,NA,-122.3520333,55.35056319,dead,NA,10/29/2019
KE_car011,f,NA,NA,NA,NA,Kennedy,-122.4039453,55.1974871,Replacement for failed GPS collar 151.871.,-122.8737792,55.42793026,dead,NA,10/29/2019
KE_car024,f,NA,TRUE,TRUE,NA,Kennedy,-122.8176887,55.11430982,Cow with calf. Left antler broke during capture. Fecal sample taken from ground.,NA,NA,removal,NA,10/29/2019
MO_car010,f,NA,TRUE,NA,NA,Moberly,-122.6244912,55.74097258,Replacement for failed GPS collar 151.980. Fecal sample taken from ground.,NA,NA,removal,NA,10/28/2019
KE_car025,f,NA,FALSE,TRUE,NA,Kennedy,-122.8158218,55.10778298,Cow with calf.  Relatively young female. Fecal sample taken from caribou.,NA,NA,removal,NA,10/28/2019
MO_car020,f,NA,NA,NA,NA,Moberly,-122.4745015,55.62222675,Very fat cow. Fecal sample taken from ground.,NA,NA,removal,NA,10/27/2019
KE_car027,f,NA,NA,NA,Train collision,Kennedy,-122.8175866,55.10919648,Cow - 7 or 8 in group.,-122.8284576,55.10001031,dead,NA,10/27/2019
KE_car028,f,NA,TRUE,FALSE,Unknown.  Suspected predation,Kennedy,-122.8184636,55.10936852,"2 cows, 1 bull.",-122.2610877,55.18750331,dead,NA,10/27/2019
KE_car026,m,NA,NA,NA,Predation - Wolf,Kennedy,-122.8372135,55.12425829,BULL.  Relatively young bull. Left antler tine broken.,-122.7517941,55.33195405,dead,NA,10/27/2019
HR_car029,f,NA,TRUE,NA,NA,Hart Ranges,-121.8693721,54.64064391,7 caribou in group. Ultrasound batteries dead.  Estimated backfat from surgery (min. estimate as Doug didn't want to push scapel to far as potential for nerve damage).,NA,NA,removal,NA,10/27/2019
HR_car019,f,NA,NA,NA,NA,Hart Ranges,-122.3044319,54.98381808,Captured cow and calf in net. Didn't do backfat surgery as animal seemed to have no fat and protruding bones.,-122.1341847,54.85556096,dead,NA,10/26/2019
