California,6.94,Scott,,,,,,,,,,,,,,,,
California,6.95,Scott,,,,,,,,,,,,,,,,
California ,6.95,Scott,,,,,,,,,,,,,,,,
California,6.99,Emily,,,,,,,,,,,,,,,,
California ,6.99,Emily,,,,,,,,,,,,,,,,
California ,6.99,Emily,,,,,,,,,,,,,,,,
Carnitas,6.99,Emily,,,,,,,,,,,,,,,,
Carne Asada,6.99,Richard,,,,,,,,,,,,,,,,
California,6.99,Scott,,,,,,,,,,,,,,,,
California,6.99,Scott,,,,,,,,,,,,,,,,
California,6.99,Scott,,,,,,,,,,,,,,,,
California ,6.99,Scott,,,,,,,,,,,,,,,,
California ,6.99,Scott,,,,,,,,,,,,,,,,
California,7,Ricardo,,,,,,,,,,,,,,,,
Carne Asada,7,Ricardo,,,,,,,,,,,,,,,,
California,7,Scott,,,,,,,,,,,,,,,,
California,7,Scott,,,,,,,,,,,,,,,,
Carne Asada,7,Scott,,,,,,,,,,,,,,,,
California,7.1,Scott,,,,,,,,,,,,,,,,
California,7.14,Scott,,,,,,,,,,,,,,,,
Carnitas,7.15,Emily,,,,,,,,,,,,,,,,
California,7.19,Scott,,,,,,,,,,,,,,,,
California,7.19,Scott,,,,,,,,,,,,,,,,
California,7.19,Scott,,,,,,,,,,,,,,,,
Carnitas,7.35,Emily,,,,,,,,,,,,,,,,
California,7.4,Emily,,,,,,,,,,,,,,,,
California,7.4,Scott,,,,,,,,,,,,,,,,
California,7.49,Emily,,,,,,,,,,,,,,,,
California,7.49,Emily,,,,,,,,,,,,,,,,
California ,7.49,Emily,,,,,,,,,,,,,,,,
California,7.49,Ricardo,,,,,,,,,,,,,,,,
California,7.49,Scott,,,,,,,,,,,,,,,,
California,7.49,Scott,,,,,,,,,,,,,,,,
California ,7.49,Scott,,,,,,,,,,,,,,,,
California ,7.49,Scott,,,,,,,,,,,,,,,,
California,7.75,Scott,,,,,,,,,,,,,,,,
California,7.75,Scott ,,,,,,,,,,,,,,,,
California,7.8,Emily,,,,,,,,,,,,,,,,
California,7.84,Scott,,,,,,,,,,,,,,,,
Carne Asada,7.85,Scott,,,,,,,,,,,,,,,,
California,7.89,Emily,,,,,,,,,,,,,,,,
Carne Asada,7.89,Richard,,,,,,,,,,,,,,,,
California,7.89,Scott,,,,,,,,,,,,,,,,
California ,7.89,Scott,,,,,,,,,,,,,,,,
Carne Asada,7.89,Scott,,,,,,,,,,,,,,,,
Carne Asada,7.89,Scott,,,,,,,,,,,,,,,,
California ,7.9,Scott,,,,,,,,,,,,,,,,
California ,7.9,Scott,,,,,,,,,,,,,,,,
California,8.35,Scott,,,,,,,,,,,,,,,,
California,8.59,Scott,,,,,,,,,,,,,,,,X
California,9,Scott,,,,,,,,,,,,,,,,
