when,url,tracker
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,i-Behavior
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Videology
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,SiteScout
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,DataXu
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,BlueKai
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Switch Concepts
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,MediaMath
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Krux Digital
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,[x+1]
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Improve Digital
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,sovrn (formerly Lijit Networks)
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Twitter Advertising
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Criteo
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Clearstream.TV
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Datalogix
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,SpotXchange
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,AppNexus
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Acuity Ads
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,eXelate
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,AddThis
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Yahoo Ad Exchange
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Lotame
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,SmartClip
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Tremor Media
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,OpenX
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Media Innovation Group
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Moat
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Eyeota
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,adingo
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Audience Science
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Semasio
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,PubMatic
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Sekindo
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,PulsePoint
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,TubeMogul
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Nativo
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,MediaMath
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Index Exchange (Formerly Casale Media)
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,LiveRamp
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Rubicon
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Advertising.com
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,SkimLinks
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Adobe Audience Manager
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,AdScale
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,GetIntent
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,BDEX
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161003020023id_/http://alynews.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161003020023id_/http://alynews.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161001225522id_/http://baltimoregazette.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161001225522id_/http://baltimoregazette.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161001225522id_/http://baltimoregazette.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161001225522id_/http://baltimoregazette.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161001225522id_/http://baltimoregazette.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161001163409id_/http://bizstandardnews.com/,ScoreCard Research Beacon
before-nov-2016,http://wayback.archive.org/web/20161001163409id_/http://bizstandardnews.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161001163409id_/http://bizstandardnews.com/,Aggregate Knowledge
before-nov-2016,http://wayback.archive.org/web/20161001163409id_/http://bizstandardnews.com/,TradeDesk
before-nov-2016,http://wayback.archive.org/web/20161001163409id_/http://bizstandardnews.com/,BlueKai
before-nov-2016,http://wayback.archive.org/web/20161001163409id_/http://bizstandardnews.com/,Taboola
before-nov-2016,http://wayback.archive.org/web/20161001163409id_/http://bizstandardnews.com/,Taboola
before-nov-2016,http://wayback.archive.org/web/20161001163409id_/http://bizstandardnews.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161001163409id_/http://bizstandardnews.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161001163409id_/http://bizstandardnews.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161001163409id_/http://bizstandardnews.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161012053807id_/http://butthatsnoneofmybusiness.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161012053807id_/http://butthatsnoneofmybusiness.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161012053807id_/http://butthatsnoneofmybusiness.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161012053807id_/http://butthatsnoneofmybusiness.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161012053807id_/http://butthatsnoneofmybusiness.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161012053807id_/http://butthatsnoneofmybusiness.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161003112649id_/http://cartelpress.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161003112649id_/http://cartelpress.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161003112649id_/http://cartelpress.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161003112649id_/http://cartelpress.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161003112649id_/http://cartelpress.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161003112649id_/http://cartelpress.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161003112649id_/http://cartelpress.com/,Google Adsense
