filename,path,extension,size,mime_type,modified_date
video_games_regional.csv,DS105-Intermediate-Statistics/Data/video_games_regional.csv,csv,336775,text/csv,2021-09-20 18:07:12
hockey1.csv,DS105-Intermediate-Statistics/Data/hockey1.csv,csv,960070,text/csv,2021-09-20 18:07:12
googleplaystore.csv,DS105-Intermediate-Statistics/Data/googleplaystore.csv,csv,1581869,text/csv,2021-09-20 18:07:12
lead_lipstick.csv,DS105-Intermediate-Statistics/Data/lead_lipstick.csv,csv,7010,text/csv,2021-09-20 18:07:12
hockey2.csv,DS105-Intermediate-Statistics/Data/hockey2.csv,csv,319285,text/csv,2021-09-20 18:07:12
hockey3.csv,DS105-Intermediate-Statistics/Data/hockey3.csv,csv,335468,text/csv,2021-09-20 18:07:12
honey.csv,DS105-Intermediate-Statistics/Data/honey.csv,csv,9009,text/csv,2021-09-20 18:07:12
bakery_sales.csv,DS105-Intermediate-Statistics/Data/bakery_sales.csv,csv,721022,text/csv,2021-09-20 18:07:12
SW_survey_renamed.csv,DS105-Intermediate-Statistics/Data/SW_survey_renamed.csv,csv,530599,text/csv,2021-09-20 18:07:11
cruise_ship.csv,DS105-Intermediate-Statistics/Data/cruise_ship.csv,csv,9079,text/csv,2021-09-20 18:07:12
client_cancellations.csv,DS105-Intermediate-Statistics/Data/client_cancellations.csv,csv,17921,text/csv,2021-09-20 18:07:12
savings.csv,DS105-Intermediate-Statistics/Data/savings.csv,csv,1920,text/csv,2023-01-20 11:30:20
antiseptics.csv,DS105-Intermediate-Statistics/Data/antiseptics.csv,csv,133,text/csv,2023-01-20 11:30:20
Seattle_ParksnRec.csv,DS105-Intermediate-Statistics/Data/Seattle_ParksnRec.csv,csv,3782,text/csv,2021-09-20 18:07:11
datasets_2021_5514_cereal.csv,DS105-Intermediate-Statistics/Data/datasets_2021_5514_cereal.csv,csv,5063,text/csv,2021-06-28 01:59:00
observed-trackers.csv,DS105-Intermediate-Statistics/Data/observed-trackers.csv,csv,407013,text/csv,2021-09-20 18:07:12
studentSurvey.csv,DS105-Intermediate-Statistics/Data/studentSurvey.csv,csv,168868,text/csv,2021-09-20 18:07:12
upholstery.csv,DS105-Intermediate-Statistics/Data/upholstery.csv,csv,832,text/csv,2021-06-28 01:59:00
olympicEvents.csv,DS105-Intermediate-Statistics/Data/olympicEvents.csv,csv,36182944,text/csv,2021-06-28 01:59:00
ImpactFactor.csv,DS105-Intermediate-Statistics/Data/ImpactFactor.csv,csv,4122,text/csv,2021-06-28 01:59:00
avocados.csv,DS105-Intermediate-Statistics/Data/avocados.csv,csv,1901846,text/csv,2021-09-20 18:07:12
video_games_global.csv,DS105-Intermediate-Statistics/Data/video_games_global.csv,csv,1107495,text/csv,2021-09-20 18:07:12
bigTacos.csv,DS105-Intermediate-Statistics/Data/bigTacos.csv,csv,4297,text/csv,2021-06-28 01:59:00
