notebook,vimeo_count,youtube_count
DS105-Intermediate-Statistics/Examples/DS105-L2-P7-Transforming-Data-PGATourData-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L4-Hands-On-Part-2-Oranges-Python.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L3-All-Examples-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L8-Hands-on-Helper-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L1-P1-OlympicEvents-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L1-P2-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L1-P2-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Plotting-the-Central-Limit-Theorem.ipynb,1,0
DS105-Intermediate-Statistics/Examples/DS105-L4-Hands-On-Part-2-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L4-P10-Activity-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L7-P5-Activity-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L7-Hands-On-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L4-Hands-On-Part-1-R-Oranges.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L8-MANOVA-Example.ipynb,0,0
DS105-Intermediate-Statistics/Examples/PCA.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L4-P1-7-Examples-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Statistical-Methods-Catalog.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L4-Hands-On-Part-1-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L4-P8-12-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L2-Hands-On-SeattleParksnRec-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L4-P8-9-Diff-Example-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L5-P4-Activity-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L6-Hands-On-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/CRAN.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/anime.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/Julia.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/Jilian-example/DS105L3P8-scipy-numpy.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch8-baggboost-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch7-nonlin-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch3-linreg-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch4-classification-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch5-resample-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch9-svm-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch6-varselect-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch11-surv-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch13-multiple-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch10-deeplearning-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch2-statlearn-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Ch12-unsup-lab.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Team-Examples/Nolan/L7-page4-5walkthrough-R.ipynb,0,0
DS107-Big-Data/DS107Questions.ipynb,0,0
DS107-Big-Data/DS107L6-Working-with-Real-Time-Data.ipynb,2,0
DS107-Big-Data/DS107L9-Source-Control-Using-Git.ipynb,7,0
DS107-Big-Data/DS107L10-Final-Project.ipynb,1,0
DS107-Big-Data/DS107L4-Pig-and-HBase.ipynb,1,0
DS107-Big-Data/DS107L2-Getting-Started-with-Hadoop.ipynb,1,0
DS107-Big-Data/DS107L3-MapReduce-Hive-and-Sqoop.ipynb,1,0
DS107-Big-Data/DS107L8-DASK.ipynb,0,0
DS107-Big-Data/DS107L1-Introduction-to-Big-Data.ipynb,1,0
DS107-Big-Data/DS107L5-Spark-2-and-Zeppelin.ipynb,1,0
DS107-Big-Data/DS107L7-Amazon-Web-Services.ipynb,1,0
DS107-Big-Data/Errata/DS107-Change-Log.ipynb,0,0
DS107-Big-Data/New-Course-Update/DS107Questions.ipynb,0,0
DS107-Big-Data/New-Course-Update/DS107L5-AWS-Cloud-Architectures-Autoscaling-Monitoring.ipynb,1,0
DS107-Big-Data/New-Course-Update/DS107L2-AWS-Global-Infrastructure-and-Cloud-Security.ipynb,1,0
DS107-Big-Data/New-Course-Update/DS107L7-AWS-Query-Data-S3-Athena-Glue-Analyze-Data-Redshift.ipynb,2,0
DS107-Big-Data/New-Course-Update/DS107L3-AWS-Networking-Content-Delivery-Compute.ipynb,2,0
DS107-Big-Data/New-Course-Update/DS107LL10-AWS-Data-Analytics-Sandbox-Environment.ipynb,0,0
DS107-Big-Data/New-Course-Update/DS107L9-AWS-Analyze-Streaming-Data-Kinesis-Firehose-Elasticsearch-Kibana-Analyze-IoT-Data-AWS-IoT-Analytics.ipynb,2,0
DS107-Big-Data/New-Course-Update/DS107L8-AWS-Analyze-Data-Sagemaker-Jupyter-Bokeh-Automate-DataLoading-AWS-Data-Pipeline.ipynb,3,1
DS107-Big-Data/New-Course-Update/DS107L6-AWS-Big-Data-Analytics-S3-Athena.ipynb,2,1
DS107-Big-Data/New-Course-Update/DS107L1-Big-Data-Overview-and-Introduction-to-AWS.ipynb,1,0
DS107-Big-Data/New-Course-Update/DS107L4-AWS-Storage-Databases.ipynb,2,0
DS107-Big-Data/New-Course-Update/Examples/AWS-Services.ipynb,0,0
DS109-Python/DS109-L1-Introduction-to-Python.ipynb,1,0
DS109-Python/DS109-L9-Matrix-Operations.ipynb,1,0
DS109-Python/DS109Questions.ipynb,0,0
DS109-Python/DS109-L6-Classes.ipynb,1,0
DS109-Python/DS109L10-Python-Final-Project.ipynb,1,0
DS109-Python/DS109-L7-Modules.ipynb,1,0
DS109-Python/DS109-L8-Python-for-Data-Science.ipynb,1,0
DS109-Python/DS109-L4-Dictionaries.ipynb,1,0
