,Name,Jupyter/IPython Version,Language(s) Version,3rd party dependencies,Example Notebooks,Notes
87,common-lisp-jupyter,Jupyter,Common Lisp,Quicklisp,About,
88,Maxima-Jupyter,Jupyter,Maxima,Quicklisp,,
89,ielisp,Jupyter,Emacs Lisp,emacs-zmq,,
90,Calysto LC3,,,,,Assembly Language for the Little Computer 3
91,Yacas,,YACAS,,,
92,IJython,,Jython 2.7,,,
93,ROOT,Jupyter,C++/python,ROOT >= 6.05,,
94,Gnuplot Kernel,,Gnuplot,,Example,MetaKernel
95,Tcl,Jupyter,Tcl 8.5,,,Based on Bash Kernel
96,Tcl,Jupyter,Tcl 8.6,,Binder demo,Written from scratch with a patched Tcl zmq binding
97,J,Jupyter Notebook/Lab,J 805-807 (J901beta),,Examples,
98,Jython,Jupyter>=4.0,Jython>=2.7.0,Java>=7,,Java based JSR223 compliant
99,C,Jupyter,C,gcc,,
100,jupyterC,Jupyter,C,gcc>=3.0,,"Supports C89 to C17, Built for teaching C"
101,TaQL,Jupyter,TaQL,python-casacore,TaQL tutorial,
102,Coconut,Jupyter,Coconut,,,
103,SPARQL,Jupyter 4,Python 2.7 or >=3.4,"rdflib, SPARQLWrapper",Examples,Optional GraphViz dependency
104,AIML chatbot,Jupyter 4,Python 2.7,pyAIML,Examples,
105,IArm,Jupyter 4,ARMv6 THUMB,,Examples,Based off of the ARM Cortex M0+ CPU
106,SoS,Jupyter 4,Python >=3.4,"Support kernels for bash, python2/3, matlab/octabe, javascript, julia, R, Stata, SAS, and more",Examples,"Workflow system, Multi-Kernel support"
107,jupyter-nodejs,"Jupyter, iPython 3.x","NodeJS, Babel, Clojurescript",,Examples,
108,Pike,IPython >= 3,Pike >= 7.8,,,"Wrapper, Based on Bash Kernel"
109,imatlab,ipykernel >= 4.1,MATLAB >= 2016b,,,
110,jupyter-kotlin,Jupyter,Kotlin 1.4.20-dev-*** DEV,Java >= 8,,Samples
111,jupyter_kernel_singular,Jupyter,Singular 4.1.0,,Demo,"Optional PySingular for better performance, surf for images, details"
112,spylon-kernel,ipykernel >=4.5,"python >= 3.5, scala >= 2.11",Apache Spark >=2.0,Example,MetaKernel
113,mit-scheme-kernel,Jupyter 4.0,MIT Scheme 9.2,,,
114,elm-kernel,Jupyter,,,Examples,
115,SciJava Jupyter Kernel,Jupyter 4.3.0,Java + 9 scripting languages,Java,Examples,
116,Isbt,Jupyter 4.3.0,sbt >= 1.0.0,sbt,example,
117,BeakerX,,,"Groovy, Java, Scala, Clojure, Kotlin, SQL",example,docker image
118,MicroPython,Jupyter,ESP8266/ESP32,USB or Webrepl,developer notebooks,relies on the micro-controller's paste-mode
119,IJava,Jupyter,Java 9,Java JDK >= 9,Binder online demo,Based on the new JShell tool
120,Guile,Jupyter 5.2,Guile 2.0.12,"guile-json, openssl",,
121,circuitpython_kernel,Jupyter,CircuitPython,USB,Examples,
122,stata_kernel,Jupyter >=5,Stata,Stata >=14,,Communicates natively with Stata
123,iPyStata,Jupyter,Stata,Stata,Example Notebook,Implemented using magics machinery of ipython.
124,IRacket,IPython >= 3,Racket >= 6.10,"Racket, ZeroMQ",Example,
125,jupyter-dot-kernel,Jupyter >= 4.0,dot/graphviz,graphviz version 2.40.1,,
126,Teradata SQL kernel and extensions,JupyterLab >= 0.34,SQL,ZeroMQ,Example Notebooks,
127,HiveQL Kernel,Jupyter >= 5,HiveQL,pyhive,,Display HiveQL queries in HTML tables
128,EvCxR Jupyter Kernel,"Jupyter 4, JupyterLab, nteract",Rust >= 1.29.2,ZeroMQ 4.x.x,"Examples, Binder online demo",
129,StuPyd Kernel,Jupyter >= 4,StuPyd Programming Language,"Python3, antlr4-python3-runtime >= 4.7.1",nbviewer demo,
130,coq_jupyter,Jupyter 5,Coq,coq,Binder online demo,
131,Cadabra2,Jupyter 5,Cadabra2,,Example notebook,
132,iMongo,,MongoDB,,,
133,jupyter_kernel_chapel,Jupyter,Chapel,,,
134,A Jupyter kernel for Vim script,Jupyter,Vim script,,,
135,SSH Kernel,Jupyter,Bash,"paramiko, metakernel",Examples,A Jupyter kernel specialized in executing commands remotely with paramiko SSH client.
136,GAP Kernel,Jupyter,GAP >= 4.10,,Binder demo,A Jupyter kernel for the computational algebra system GAP.
137,Wolfram Language for Jupyter,,"Wolfram Engine, i.e., a Wolfram Desktop or Mathematica installation; wolframscript is optional but recommended",,,A Jupyter kernel for the Wolfram Language (Mathematica).
138,GrADS kernel,,GrADS >= 2.0,,,
139,Bacatá,Jupyter,Java & Rascal,ZeroMQ & Rascal,Example,A Jupyter kernel generator for domain-specific languages.
140,nelu-kernelu,Jupyter,NodeJs 12,NodeJs 12.3+,Examples,An advanced NodeJs Jupyter kernel supporting comms and displays among other things.
141,IPolyglot,Jupyter,"JavaScript, Ruby, Python, R, and more",GraalVM,Example Polyglot Notebook,Dockerfile
142,Emu86 Kernel,Jupyter,Intel Assembly Language,,Introduction to Intel Assembly Language Tutorial,
143,Common Workflow Language (CWL) Kernel,,v1.1,,examples directory,
144,MIPS Jupyter Kernel,Jupyter,MIPS32 Assembly Language,"Python3, SPIM",Example,Driven by Python3 and Pexpect
145,iTTS,,Natural languages,speech-dispatcher,Example,Currently cannot output sound into files or blobs because of limitations of speech-dispatcher
146,xeus-clickhouse,,ClickHouse SQL,xeus,Example,
147,IQSharp,Jupyter 4,Q#,,QuantumKatas,
148,.Net Interactive,Jupyter 4,"C#, F#, Powershell",.Net Core SDK,Binder Examples,
149,mariadb_kernel,Jupyter Notebook/Lab,SQL,"Internal Dependencies, MariaDB Server",Binder notebook,A Jupyter kernel for the MariaDB Open Source database
150,ISetlX,Jupyter,SetlX,,Example,
151,Ganymede,Jupyter >= 4.0,"Java 11+, Groovy, Javascript, Kotlin, Scala, Apache Spark, and more","JShell, Apache Maven Resolver",Examples,
152,cqljupyter,Jupyter,Cassandra CQL,,,
